Namespace,columnName,valueType,Identifier,Refines,Replaces,Deprecated,ReplacedBy,Version,DateIssued,DateModified,Definition,Comment
MeasurementOrFact,measurementDeterminedBy,character,http://rs.tdwg.org/dwc/terms/measurementDeterminedBy,,,,,v0.3,07/07/2017,,"A list (concatenated and separated) of names of people, groups, or organizations who determined the value of the measurement. ","The recommended best practice is to separate the values with a vertical bar (' | '). Examples: ""Rob Guralnick"", ""Julie Woodruff | Eileen Lacey"". Can be encoded by dataset-specific identifiers for reasons of privacy. This is kept as a co-factor for repeated measurements."
MeasurementOrFact,measurementDeterminedDate,Date,http://rs.tdwg.org/dwc/terms/measurementDeterminedDate,,,,,,,,"The date on which the MeasurementOrFact was made. Recommended best practice is to use an encoding scheme, such as ISO 8601:2004(E). ","Examples: ""1963-03-08T14:07-0600"" is 8 Mar 1963 2:07pm in the time zone six hours earlier than UTC, ""2009-02-20T08:40Z"" is 20 Feb 2009 8:40am UTC, ""1809-02-12"" is 12 Feb 1809, ""1906-06"" is Jun 1906, ""1971"" is just that year, ""2007-03-01T13:00:00Z/2008-05-11T15:30:00Z"" is the interval between 1 Mar 2007 1pm UTC and 11 May 2008 3:30pm UTC, ""2007-11-13/15"" is the interval between 13 Nov 2007 and 15 Nov 2007. For discussion see http://terms.tdwg.org/wiki/dwc:measurementDeterminedDate"
MeasurementOrFact,measurementRemarks,character,http://ecologicaltraitdata.github.io/ETS/#measurementRemarks,http://rs.tdwg.org/dwc/terms/measurementRemarks,,,,v0.3,07/07/2017,,"Remarks concerning a particular measurement, e.g. additional information on the quality and reliability, reference or acknowledgements.","Any particularities about the individual measurement or specimen that might affect trait measuremnt, e.g. 'last antenna segment missing'. "
MeasurementOrFact,aggregateMeasure,logical,http://ecologicaltraitdata.github.io/ETS/#aggregateMeasure,,,,,v0.3,07/07/2017,,Is measurementValue reporting an individual measurement or an aggregate Measure? Takes a binary entry: TRUE or FALSE,"This is flagging aggregate data in an unambiguous way. Aggregate measures are often reported for repeated measures, e.g. replicate measurements of leaf size from a single plant individual or for grouped measurement, e.g. for weightings of a counted number of specimens (e.g. leaves or small organisms). "
MeasurementOrFact,individualCount,integer,http://ecologicaltraitdata.github.io/ETS/#individualCount,http://rs.tdwg.org/dwc/terms/individualCount,,,,v0.3,07/07/2017,,"If measurement is an aggregate measure of multiple individuals or specimens, report number of specimens as count, i.e. integer number. Defaults to 1","Examples: ""1"", ""25"". For discussion see http://terms.tdwg.org/wiki/dwc:individualCount"
MeasurementOrFact,dispersion,numeric,http://ecologicaltraitdata.github.io/ETS/#dispersion,,,,,v0.3,07/07/2017,,"If aggregate measure of multiple individuals or specimens, the numeric value of dispersion (variance or standard deviation) for the mean value reported in measurementValue_user (no unit conversion is provided by the R-package!). Defaults to 0. If a value is provided, report the statistical method in the field statisticalMethod.",
MeasurementOrFact,measurementValue_min,numeric,http://ecologicaltraitdata.github.io/ETS/#measurementValue_min,,,,,v0.3,07/07/2017,,The lower boundary of observed values. Instead of or in addition to dispersion metric. ,
MeasurementOrFact,measurementValue_max,numeric,http://ecologicaltraitdata.github.io/ETS/#measurementValue_max,,,,,v0.3,07/07/2017,,The upper boundary of observed values. Instead of or in addition to dispersion metric. ,
MeasurementOrFact,measurementAccuracy,character,http://ecologicaltraitdata.github.io/ETS/#measurementAccuracy,http://rs.tdwg.org/dwc/terms/measurementAccuracy,,,,v0.3,07/07/2017,,The description of the potential error associated with the measurementValue.,"Examples: ""0.01"", ""normal distribution with variation of 2 m"". For discussion see http://terms.tdwg.org/wiki/dwc:measurementAccuracy"
MeasurementOrFact,statisticalMethod,character,http://ecologicaltraitdata.github.io/ETS/#statisticalMethod,,,,,v0.3,07/07/2017,,"For aggregated measures, the method for data aggregation or averaging as well as the variation or range."," E.g. 'mean and standard deviation', 'median and 95% confidence interval', 'mean and variance', 'mean and range of values', 'median and 95% interquantile range'"
Occurrence,sex,factor,http://ecologicaltraitdata.github.io/ETS/#sex,http://rs.tdwg.org/dwc/terms/sex,,,,v0.3,07/07/2017,,The sex of the biological individual(s) represented in the Occurrence. Recommended best practice is to use a controlled vocabulary. ,"Use vocabulary: ""male"", ""female"", ""subadult"", ""unknown"", ""hermaphrodite"" (no abbreviations or numerical encodings)"
Occurrence,lifeStage,character,http://ecologicaltraitdata.github.io/ETS/#lifeStage,http://rs.tdwg.org/dwc/terms/lifeStage,,,,v0.3,07/07/2017,,The age class or life stage of the biological individual(s) at the time the Occurrence was recorded. Recommended best practice is to use a controlled vocabulary.,"Recommended factor levels are: seed, seedling, sapling, adult, egg, larval_instar_1, larval_instar_2, larval_instar_3, ... , pupa; For very taxon-specific life stages, it is recommended to provide detailed explanation in the metadata of the dataset. "
Occurrence,age,numeric,http://ecologicaltraitdata.github.io/ETS/#age,,,,,v0.3,07/07/2017,,The age of the specimen in years.,"Use integer or float numbers. Example: ""2"", ""0.16""."
Occurrence,morphotype,character,http://ecologicaltraitdata.github.io/ETS/#morphotype,,,,,v0.3,07/07/2017,,The morphotype of the observed specimen.,"Examples: ""worker"", ""drone"", ""queen"". Since morphotypes can differ between organism groups, provide definition of morphotypes in the metadata of the dataset. "
Occurrence,eventID,character,http://ecologicaltraitdata.github.io/ETS/#eventID,http://rs.tdwg.org/dwc/terms/eventID,,,,v0.3,07/07/2017,,"The sampling event or campaign. A globally valid URI or user specified character string that links to another table providing detailed information, e.g. environmental or temporal parameters, descriptions on methods etc..",could be a combination of date and sampling region 
Occurrence,preparations,character,http://rs.tdwg.org/dwc/terms/preparations,,,,,,,,"For preserved specimens, a list (concatenated and separated) of preparations and preservation methods for the occurence. ","Do not report procedures for measurement or sampling here (see samplingProtocol and measurementMethod). The recommended best practice is to separate the values with a vertical bar (' | '). Examples: ""fossil"", ""cast"", ""photograph"", ""DNA extract"", ""skin | ""skull | skeleton"", ""whole animal (ETOH) | tissue (EDTA)"". For discussion see http://terms.tdwg.org/wiki/dwc:preparations"
Occurrence,samplingProtocol,character,http://rs.tdwg.org/dwc/terms/samplingProtocol,,,,,,,,"The name of, reference to, or description of the method or protocol used for obtaining the specimen. ","Examples: ""UV light trap"", ""mist net"", ""bottom trawl"", ""ad hoc observation"", ""point count"", ""Penguins from space: faecal stains reveal the location of emperor penguin colonies, http://dx.doi.org/10.1111/j.1466-8238.2009.00467.x"", ""Takats et al. 2001. Guidelines for Nocturnal Owl Monitoring in North America. Beaverhill Bird Observatory and Bird Studies Canada, Edmonton, Alberta. 32 pp."", ""http://www.bsc-eoc.org/download/Owl.pdf"". For discussion see http://terms.tdwg.org/wiki/dwc:samplingProtocol"
Occurrence,year,integer,http://rs.tdwg.org/dwc/terms/year,,,,,,,,"The four-digit year, at which the specimens were extracted or sampled. ","Example: ""2008"". For discussion see http://terms.tdwg.org/wiki/dwc:year"
Occurrence,month,integer,http://rs.tdwg.org/dwc/terms/month,,,,,,,,"The ordinal month, in which the specimens were extracted or sampled. ","Examples: ""1"" (=January), ""10"" (=October). For discussion see http://terms.tdwg.org/wiki/dwc:month"
Occurrence,day,integer,http://rs.tdwg.org/dwc/terms/day,,,,,,,,The integer day of the month on which the specimens were extracted or sampled. ,"Examples: ""9"", ""28"". For discussion see http://terms.tdwg.org/wiki/dwc:day"
Occurrence,eventDate,Date,http://ecologicaltraitdata.github.io/ETS/#eventDate,http://rs.tdwg.org/dwc/terms/eventDate,,,,v0.3,07/07/2017,,"The date-time or interval during which an Event occurred. For occurrences, this is the date-time when the event was recorded. Not suitable for a time in a geological context. Recommended best practice is to use an encoding scheme, such as ISO 8601:2004(E). For lower precision, use year, month and day field instead."," Note: this is not to record the date when the specimens were measured (use measurementDeterminedDate for this). If applicable, at least provide a year.  Providing a date is highly viable for studies analysing temporal variation in traits.  Examples: ""1963-03-08T14:07-0600"" is 8 Mar 1963 2:07pm in the time zone six hours earlier than UTC, ""2009-02-20T08:40Z"" is 20 Feb 2009 8:40am UTC, ""1809-02-12"" is 12 Feb 1809, ""1906-06"" is Jun 1906, ""1971"" is just that year, ""2007-03-01T13:00:00Z/2008-05-11T15:30:00Z"" is the interval between 1 Mar 2007 1pm UTC and 11 May 2008 3:30pm UTC, ""2007-11-13/15"" is the interval between 13 Nov 2007 and 15 Nov 2007. For discussion see http://terms.tdwg.org/wiki/dwc:eventDate"
Occurrence,locationID,factor,http://rs.tdwg.org/dwc/terms/locationID,,,,,,,,An identifier for the set of location information (data associated with dcterms:Location). May be a global unique identifier or an identifier specific to the data set., Could report the plot within the experimental setting which would be further specified in the metadata or in a separate dataset. For discussion see http://terms.tdwg.org/wiki/dwc:locationID
Occurrence,habitat,factor,http://ecologicaltraitdata.github.io/ETS/#habitat,http://rs.tdwg.org/dwc/terms/habitat,,,,v0.3,07/07/2017,,A category or description of the habitat in which the specimen occurred.,"E.g. 'forest', 'grassland', 'oak savanna', 'pre-cordilleran steppe'. It is recommended to link to ecological ontologies, if available, using public URIs. For discussion see http://terms.tdwg.org/wiki/dwc:habitat"
Occurrence,decimalLongitude,numeric,http://rs.tdwg.org/dwc/terms/decimalLongitude,,,,,,,,"The geographic longitude (in decimal degrees, using the spatial reference system given in geodeticDatum) of the geographic center of a Location. Positive values are east of the Greenwich Meridian, negative values are west of it. Legal values lie between -180 and 180, inclusive.","Example: ""-121.1761111"". For discussion see http://terms.tdwg.org/wiki/dwc:decimalLongitude"
Occurrence,decimalLatitude,numeric,http://rs.tdwg.org/dwc/terms/decimalLatitude,,,,,,,,"The geographic latitude (in decimal degrees, using the spatial reference system given in geodeticDatum) of the geographic center of a Location. Positive values are north of the Equator, negative values are south of it. Legal values lie between -90 and 90, inclusive.","Example: ""-41.0983423"". For discussion see http://terms.tdwg.org/wiki/dwc:decimalLatitude"
Occurrence,elevation,numeric,http://ecologicaltraitdata.github.io/ETS/#elevation,http://rs.tdwg.org/dwc/terms/verbatimElevation,,,,v0.3,07/07/2017,,The geographic elevation in meters above sea level.,"May map to verbatimElevation (http://rs.tdwg.org/dwc/terms/verbatimElevation) or minimumElevationInMeters (http://rs.tdwg.org/dwc/terms/minimumElevationInMeters) and maximumElevationInMeters (http://rs.tdwg.org/dwc/terms/maximumElevationInMeters); Example: ""200"". For discussion see http://terms.tdwg.org/wiki/dwc:maximumElevationInMeters"
Occurrence,geodeticDatum,factor,http://rs.tdwg.org/dwc/terms/geodeticDatum,,,,,,,,"The ellipsoid, geodetic datum, or spatial reference system (SRS) upon which the geographic coordinates given in decimalLatitude and decimalLongitude as based. Recommended best practice is use the EPSG code as a controlled vocabulary to provide an SRS, if known. Otherwise use a controlled vocabulary for the name or code of the geodetic datum, if known. Otherwise use a controlled vocabulary for the name or code of the ellipsoid, if known. If none of these is known, use the value ""unknown"".","Examples: ""EPSG:4326"", ""WGS84"", ""NAD27"", ""Campo Inchauspe"", ""European 1950"", ""Clarke 1866"". For discussion see http://terms.tdwg.org/wiki/dwc:geodeticDatum"
Occurrence,verbatimLocality,character,http://rs.tdwg.org/dwc/terms/verbatimLocality,,,,,,,,The specific description of the place. ,"Less specific geographic information can be provided in other geographic terms of darwin core (higherGeography, continent, country, stateProvince, county, municipality, waterBody, island, islandGroup). This term may contain information modified from the original to correct perceived errors or standardize the description. Example: ""25 km NNE Bariloche por R. Nac. 237"". For discussion see http://terms.tdwg.org/wiki/dwc:verbatimLocality"
Occurrence,country,character,http://rs.tdwg.org/dwc/terms/country,,,,,,,,The name of the country or major administrative unit in which the Location occurs. Recommended best practice is to use a controlled vocabulary such as the Getty Thesaurus of Geographic Names.,"Examples: ""Germany"", ""Denmark"", ""Colombia"", ""España"". For discussion see http://terms.tdwg.org/wiki/dwc:country;"
Occurrence,countryCode,factor,http://rs.tdwg.org/dwc/terms/countryCode,,,,,,,,The standard code for the country in which the Location occurs. Recommended best practice is to use ISO 3166-1-alpha-2 country codes.,"Examples:""DE"" for Germany, ""AR"" for Argentina, ""SV"" for El Salvador. For discussion see http://terms.tdwg.org/wiki/dwc:countryCode"
Occurrence,occurenceRemarks,character,http://rs.tdwg.org/dwc/terms/occurrenceRemarks,,,,,,,,Comments or notes about the Occurrence.,"Example: ""found dead on road"". For discussion see http://terms.tdwg.org/wiki/dwc:occurrenceRemarks"
Metadata,rightsHolder,character,http://purl.org/dc/terms/rightsHolder,,,,,,,,"A person or organization owning or managing rights over the resource, i.e. this dataset.","Example: ""The Regents of the University of California."". For discussion see http://terms.tdwg.org/wiki/dwc:rightsHolder"
Metadata,bibliographicCitation,character,http://purl.org/dc/terms/bibliographicCitation,,,,,,,,A bibliographic reference for the resource as a statement indicating how this record should be cited (attributed) when used. Recommended practice is to include sufficient bibliographic detail to identify the resource as unambiguously as possible.,"Examples: ""Ctenomys sociabilis (MVZ 165861)"" for a specimen, ""Oliver P. Pearson. 1985. Los tuco-tucos (genera Ctenomys) de los Parques Nacionales Lanin y Nahuel Huapi, Argentina Historia Natural, 5(37):337-343."" for a Taxon. For discussion see http://terms.tdwg.org/wiki/dwc:bibliographicCitation"
Metadata,license,character,http://purl.org/dc/terms/license,,,,,,,,A legal document giving official permission to do something with the resource.,"Examples: ""http://creativecommons.org/publicdomain/zero/1.0/legalcode"", ""http://creativecommons.org/licenses/by/4.0/legalcode"". For discussion see http://terms.tdwg.org/wiki/dwc:license"
Metadata,datasetID,character,http://rs.tdwg.org/dwc/terms/datasetID,,,,,,,,An identifier for the set of data. May be a global unique identifier or an identifier specific to a collection or institution.,"e.g. BExIS ID, or  a DOI referring to the published dataset ; For discussion see http://terms.tdwg.org/wiki/dwc:datasetID"
Metadata,datasetName,character,http://rs.tdwg.org/dwc/terms/datasetName,,,,,,,,The name identifying the data set from which the record was derived.,"Examples: ""Grinnell Resurvey Mammals"", ""Lacey Ctenomys Recaptures"". For discussion see http://terms.tdwg.org/wiki/dwc:datasetName"
Metadata,author,character,http://ecologicaltraitdata.github.io/ETS/#author,http://purl.org/dc/terms/creator,,,,v0.4,05/09/2017,,"The person, organisation or service primarily responsible for making the dataset.",Multiple names may be provided; Examples: 
Metadata,version,character,http://ecologicaltraitdata.github.io/ETS/#version,,,,,v0.4,05/09/2017,,,
BiodiversityExploratories,OriginExploratories,logical,http://ecologicaltraitdata.github.io/ETS/#OriginExploratories,,,,,v0.3,07/07/2017,,"Did measured specimens originate from Exploratories Plots? TRUE or FALSE, defaults to FALSE",As unambiguous flag for data and specimens that are originating from Exploratories sites. 
BiodiversityExploratories,ExploratoriesPlotID,factor,http://ecologicaltraitdata.github.io/ETS/#ExploratoriesPlotID,,,,,v0.3,07/07/2017,01/11/2017,EP plot ID (or also any valid Gridplot ID or VIP ID) where the measured specimen was extracted. ,"Only for specimen that were extracted from the exploratories directly (or direct offspring, if hatched in the lab). Please also report it, even if this was not part of your research question and provide a Date (a year at last) if available."
BiodiversityExploratories,Exploratory,factor,http://ecologicaltraitdata.github.io/ETS/#Exploratory,,,,,v0.5,07/07/2017,01/11/2017,"Exploratories Region (Hainich, Schorfheide, Alb) for sorting purpose and readability, or if exact Plot ID is not available.", Use vocabulary: 'HAI'; 'SCH'; 'ALB'
BiodiversityExploratories,ExploType,factor,http://ecologicaltraitdata.github.io/ETS/#ExploType,,,,,v0.3,07/07/2017,01/11/2017,Defined code for forest ('W') or grassland ('G') plot. ,
Traitlist,Identifier,,http://ecologicaltraitdata.github.io/ETS/#Identifier,,,,,v0.4,24/10/2017,,unique identifier for the trait,Identifiers are ideally unique and stable URI which identify the source of the trait
Traitlist,trait,,http://ecologicaltraitdata.github.io/ETS/#trait,,,,,v0.4,24/10/2017,,human-readable trait name,"Trait names should be unique but understandable by humans. Additional specifications such as unit of measurement can be included in the name. Several words are separated by ""_""."
Traitlist,broaderTerm,,http://ecologicaltraitdata.github.io/ETS/#broaderTerm,,,,,v0.4,24/08/2017,10/24/2017,indicates the hierarchical level of the trait,The broader term is given as the unique identifier (traitID) of the broader trait. Each trait can only have one broader term.
Traitlist,narrowerTerm,,http://ecologicaltraitdata.github.io/ETS/#narrowerTerm,,,,,v0.4,24/08/2017,10/24/2017,indicates the hierarchical level of the trait,Optional. Several traits can be listed as narrower terms of one trait.
Traitlist,valueType,,http://ecologicaltraitdata.github.io/ETS/#valueType,,,,,v0.4,27/09/2017,,"type of trait values. Defines the trait as numeric, integer, categorical, binary/logical, or character. ","Numerical values represent measurements of length, volumes, ratios, rates or timespans. Integer values apply to count data (e.g. eggs per clutch). Binary data (encoded as 0 or 1) or logical data (coded as TRUE or FALSE) may apply to qualitative traits such as specific behaviour during mating (e.g. are territories defended) or specialisation to a given habitat (e.g. species restricted to relicts of primeval forests). Categorical traits should define a constrained set of factor levels, such as sex differences in wing morphology (both sexes winged, both sexes unwinged, only males winged, only females winged) or unconstrained entries such as color. Ordinal categorical traits may be better encoded as integer values, e.g. a logical sequence as in the case of life stages or hibernation stages, or habitat preference traits such as horizontal stratum use."
Traitlist,expectedUnit,,http://ecologicaltraitdata.github.io/ETS/#expectedUnit,,,,,y0.4,24/10/2017,,the unit of measurement,Only applies to numerical traits. Should be given in SI units.
Traitlist,factorLevels,,http://ecologicaltraitdata.github.io/ETS/#factorLevels,,,,,v0.4,27/09/2017,,the constrained vocabulary for categorical traits or ordinal binary traits.,"Ordinal traits may be encoded with numerically indexed factor levels; e.g. 1_egg, 2_larvae, 3_pupae, 4_adult; the field traitDescription should define the factor levels; "
Traitlist,maxAllowedValue,,http://ecologicaltraitdata.github.io/ETS/#maxAllowedValue,,,,,v0.4,27/09/2017,,a lower boundary for accepted numerical values,"May be used for eliminating invalid data. This boundary may constrain a range of values of meaningful orders of magnitude, or constrain entries to positive values.  "
Traitlist,minAllowedValue,,http://ecologicaltraitdata.github.io/ETS/#minAllowedValue,,,,,v0.4,27/09/2017,,an upper boundary for accepted numerical values,May be used for eliminating invalid data. This boundary may constrain a range of values of meaningful orders of magnitude.  
Traitlist,traitDescription,,http://ecologicaltraitdata.github.io/ETS/#traitDescription,,,,,v0.4,27/09/2017,,"short, unambiguous definition of the trait. May refer to a method of measurement.","The definition should make use of  terms provided by existing public ontologies, e.g. 'the mass (PATO:mass), either fresh or dried, of a fruit (PO:fruit)'"
